平成12年度,人口動態職業・産業別統計（人口動態統計特殊報告）
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（13大都市再掲）・性別
注：1)　「国勢調査」平成12年10月１日現在の日本人人口（按分済み）。
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職
,,,専 門 的・,管　理　的,事務従事者,販売従事者,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,
,,,職業従事者,,,,,,,,,,
総数
全　　　　　国　,107260679,62412501,8422444,1783319,12028496,9444617,5479682,996945,3148158,2249534,18146362,712943,43146458
０１　北　海　道,4875849,2737801,351710,84052,480493,406642,256771,82750,209014,123811,713977,28582,2078045
０２　青　　　森,1249723,728225,79361,18044,109406,92370,58200,21776,101351,31881,212891,2945,513424
０３　岩　　　手,1200083,730695,83899,19615,113828,87145,57778,9709,102781,29561,225925,453,467075
０４　宮　　　城,2002456,1148881,140082,34306,214468,183364,94242,21075,73363,49161,328250,10571,825204
０５　秋　　　田,1023285,586485,65550,14580,93926,73751,48387,8513,63228,22099,195713,739,435784
０６　山　　　形,1053352,640071,68912,17798,104396,79411,48231,9402,70608,20938,219725,650,411181
０７　福　　　島,1777800,1056452,115980,27904,170048,130514,82363,14316,101022,39494,370477,4334,711071
０８　茨　　　城,2499613,1487661,186475,34024,264745,184144,115564,25342,120859,57374,486815,12319,989632
０９　栃　　　木,1679224,1026492,121674,24054,171621,129373,88956,11631,74946,38054,359820,6364,640836
１０　群　　　馬,1693029,1025550,121201,26136,176916,131712,87257,11222,71136,35147,360218,4604,660336
１１　埼　　　玉,5855848,3503190,449143,90906,755225,570694,272028,59695,85313,133244,1028820,58122,2250345
１２　千　　　葉,5030450,2952936,408599,89411,660895,487662,256213,54028,117031,109072,719351,50676,1976670
１３　東　　　京,10445923,6084064,1010373,223509,1420465,1073228,615771,84008,28390,194481,1269112,164728,3881815
１４　神　奈　川,7216234,4204855,713083,130249,936711,679829,366571,71461,45418,142029,1054423,65080,2861044
１５　新　　　潟,2101062,1262070,144368,33100,215588,167439,106055,16360,90509,47526,436646,4479,833613
１６　富　　　山,957219,593342,76515,17158,107501,79740,46189,6396,23987,20388,214175,1291,361244
１７　石　　　川,998919,613195,81041,18425,111275,89510,55966,9085,24311,21440,198148,3994,381177
１８　福　　　井,689870,433347,53194,12498,77424,55655,35712,4938,21218,12902,158791,1015,254838
１９　山　　　梨,740727,451463,55770,12396,80295,58761,42617,5827,40174,12708,141511,1402,286480
２０　長　　　野,1851242,1179160,138359,31956,197174,144529,101641,10468,131344,32542,387025,4121,667913
２１　岐　　　阜,1761303,1074619,127558,28629,193412,148581,91917,13483,40936,34383,393931,1789,683103
２２　静　　　岡,3153345,1980197,227092,49351,343454,265101,169363,29067,108336,69432,710305,8695,1156377
２３　愛　　　知,5862332,3639732,446458,91293,681276,554638,304675,43066,109141,125934,1259777,23475,2177677
２４　三　　　重,1553327,915386,109702,22764,167911,118191,76166,12763,47190,32980,324517,3204,630652
２５　滋　　　賀,1106492,658677,92487,17684,121993,85794,49610,9315,24705,19347,229888,7855,437748
２６　京　　　都,2241756,1256667,179948,35388,232789,208510,123364,23469,35797,41778,352993,22631,911473
２７　大　　　阪,7402702,4061875,530582,119918,833051,745413,379348,52411,23941,146966,1161805,68439,3147441
２８　兵　　　庫,4647314,2560799,362360,80019,515786,409272,219688,39918,65063,85000,738187,45506,2002108
２９　奈　　　良,1221164,652511,102901,24046,139234,111715,49533,10017,21032,16678,166374,10981,553622
３０　和　歌　山,905977,496840,62732,11988,86917,70021,43177,7064,52237,16556,142437,3712,402741
３１　鳥　　　取,516756,317895,41166,9208,53320,39287,25310,5747,36396,10603,95258,1601,196479
３２　島　　　根,645370,386919,50975,11075,67036,47078,31860,5899,41370,13653,116413,1560,256293
３３　岡　　　山,1648145,948979,125600,24939,166044,130074,74537,11072,62330,36262,311549,6572,686468
３４　広　　　島,2430195,1417125,191898,40895,272069,216021,118583,27751,65616,52927,416298,15068,982766
３５　山　　　口,1303020,740346,96358,19401,130954,99105,63296,14575,53554,30244,229540,3319,554298
３６　徳　　　島,704225,388931,55591,10882,62345,49984,31473,5312,40302,13624,114279,5139,303885
３７　香　　　川,870132,508554,66755,15540,97030,73737,40420,7094,37740,18813,149728,1697,357999
３８　愛　　　媛,1269498,706896,91986,18525,119850,96201,59906,8175,70467,27851,212326,1609,557398
３９　高　　　知,699808,393087,55060,10393,64266,53633,37589,5567,49642,14416,100141,2379,296580
４０　福　　　岡,4244343,2313929,326977,63880,446738,402940,218323,40645,85951,91389,608811,28277,1832183
４１　佐　　　賀,730275,430070,55210,10784,72718,57532,37462,6610,49070,14824,124955,905,298477
４２　長　　　崎,1269004,700079,95542,18458,114646,97259,69003,18757,65563,29623,188562,2667,565087
４３　熊　　　本,1566515,884956,119428,22565,148163,118952,82661,14909,105008,31565,235471,6234,666164
４４　大　　　分,1037183,581744,78119,15573,98935,79048,52394,9479,55235,21753,167059,4149,447163
４５　宮　　　崎,980296,565808,72902,14299,92254,72556,51519,9689,72457,20070,158570,1493,409274
４６　鹿　児　島,1502081,827455,111003,20208,141641,106622,77203,12535,98395,33653,223348,2847,672707
４７　沖　　　縄,1046213,556491,80766,15493,102266,81882,64788,14557,34682,25360,132028,4668,472568
１３大都市（再掲）,,,,,,,,,,,,,
５０　東京都の区部,7073055,4184106,662596,163792,985334,764471,441221,52755,8663,138807,841233,125235,2512453
５１　札　幌　市,1565486,861060,130211,28508,179212,165587,88056,18816,3843,36342,192490,17995,664980
５２　仙　台　市,855673,480668,73887,16098,107903,99373,45609,8446,5595,16067,98628,9063,350027
５３　千　葉　市,753719,432199,68263,14345,105530,77267,37168,7827,4262,14736,90658,12141,290474
５４　横　浜　市,2910228,1685658,295738,58665,400979,292279,142924,21964,9692,56246,375863,31308,1160681
５５　川　崎　市,1064028,641320,119574,18078,147742,107631,55991,6184,3262,21471,150860,10529,393224
５６　名古屋　市,1830988,1102784,148088,35320,227593,213905,109252,12524,3701,39391,302164,10844,707965
５７　京　都　市,1249148,685565,101446,20108,126260,126170,78370,8919,6125,23570,176889,17709,499204
５８　大　阪　市,2185800,1187927,140356,34411,233364,234538,135615,12312,1336,43840,338594,13560,916020
５９　神　戸　市,1255275,657346,102236,21935,144304,116342,63430,10068,5539,24102,152646,16744,559602
６０　広　島　市,943107,560710,81549,18140,123314,103562,49664,9147,7490,20631,137515,9697,360072
６１　北九州　市,863489,448776,64723,12474,84120,76480,44242,7394,4219,19560,129163,6402,390932
６２　福　岡　市,1139557,643514,97410,20400,142507,137672,70461,8183,5366,21797,125605,14112,439806
男
全　　　　　国　,52085116,36941703,4716772,1585307,4524495,6031643,1931918,946106,1799208,2141926,12864240,400087,13994044
０１　北　海　道,2306584,1604464,188486,74506,189123,246962,81374,79195,118750,116998,494136,14934,664957
０２　青　　　森,587702,413509,38283,15617,41757,52661,17369,20737,54907,30567,140090,1521,169564
０３　岩　　　手,571118,414360,42516,17477,43725,52098,17315,9333,54317,28443,148910,226,155186
