,,,,,,表３　15歳以上人口，職業,（大分類）・都道府県（15大都市再掲）・性別,,,,,,,
"総　数
",,,,,,,,,,,,,,"平成17年度   
  "
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職,不　　詳
,,,専 門 的・,管　理　的,事務従事者,販売従事者,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,,
,,,職業従事者,,,,,,,,,,,
"全　  　　　国 
",108767338,60733598,8364593,1455933,11835285,8869375,6054722,1049616,2929271,2064464,17036178,1074161,44419901,3613839
01　北　海　道,4893313,2595294,330660,66400,456733,376225,281966,81522,190900,110041,651828,49019,2139141,158878
02　青　　　森,1233976,683063,76131,14548,104482,86742,66420,22106,93296,27588,185916,5834,536978,13935
03　岩　　　手,1188793,685138,78875,16150,108565,83554,63452,10095,92910,25606,203501,2430,494222,9433
04　宮　　　城,2022722,1101932,139366,30200,205584,171453,106083,22185,67869,45651,302015,11526,858205,62585
05　秋　　　田,999431,547591,62638,12169,89728,66923,54425,8865,59786,18815,171123,3119,443471,8369
06　山　　　形,1043368,608253,67464,14166,98746,75753,56119,9587,65394,18199,199453,3372,427842,7273
07　福　　　島,1774389,1004270,113692,22442,162325,123515,92454,14908,91385,35782,339275,8492,738775,31344
08　茨　　　城,2518252,1441658,182852,27840,258799,174593,127451,26329,107020,53463,462662,20649,1032871,43723
09　栃　　　木,1707382,1004030,122874,19848,170981,124393,94789,12727,68217,35317,344818,10066,669987,33365
10　群　　　馬,1702052,996205,122168,21476,175130,127148,97243,12273,65618,33009,335012,7128,688699,17148
11　埼　　　玉,5992478,3471700,458470,75643,751323,540362,309225,62792,77167,126906,985654,84158,2344733,176045
12　千　　　葉,5167063,2915619,410835,73633,653319,464074,282740,57576,106289,103261,693799,70093,2062000,189444
13　東　　　京,10902359,5822032,989426,180621,1424995,977584,622486,88803,27439,172704,1149208,188766,3926833,1153494
14　神　奈　川,7498024,4258736,723316,102484,952747,661776,415236,75997,43407,135165,1016204,132404,2963886,275402
15　新　　　潟,2090180,1219488,142601,27275,205922,158877,118662,17859,89665,43145,407594,7888,851939,18753
16　富　　　山,952434,571062,73606,13803,102532,75314,51347,6802,24317,18592,201497,3252,372243,9129
17　石　　　川,1000534,591807,78401,14257,109381,84063,60808,9756,23276,19095,186437,6333,390705,18022
18　福　　　井,690630,416796,53299,10627,75162,52806,39529,5450,20340,12011,144972,2600,265396,8438
19　山　　　梨,744769,437519,55232,10434,77347,55592,46412,6422,37415,11375,133605,3685,295997,11253
20　長　　　野,1848735,1130221,136911,26201,188053,136639,113155,11200,127811,29601,352114,8536,703817,14697
21　岐　　　阜,1767985,1046034,127999,24922,192430,140158,101809,14728,38973,32480,366777,5758,708713,13238
22　静　　　岡,3193439,1946444,230190,43342,336908,250666,184764,30568,98815,66707,688026,16458,1210977,36018
23　愛　　　知,6046590,3624474,454758,74427,689333,518236,331889,47691,101502,118110,1233662,54866,2257305,164811
24　三　　　重,1569750,901844,108417,19210,164208,109642,85122,13405,43920,30816,314364,12740,644245,23661
25　滋　　　賀,1147046,666895,93489,14246,124168,84786,58547,9978,26342,18873,227380,9086,460024,20127
26　京　　　都,2257675,1228153,182378,28910,229319,193979,135894,24439,34270,38484,328775,31705,929017,100505
27　大　　　阪,7436206,3880523,529099,94396,811961,670605,411806,55672,24474,133070,1055152,94288,3220728,334955
28　兵　　　庫,4715595,2514442,364256,62883,505538,390708,251205,41577,63770,78118,701911,54476,2069789,131364
29　奈　　　良,1215783,630047,101003,18378,133124,104349,58985,10534,20470,15958,155693,11553,567609,18127
30　和　歌　山,888354,475792,61318,10443,82609,64328,49055,7476,49305,15153,128411,7694,400667,11895
31　鳥　　　取,518423,301872,39712,7580,51031,37294,29722,5922,32802,9325,84701,3783,208020,8531
32　島　　　根,637299,365830,48669,8839,65191,44773,37356,6127,37142,12127,103466,2140,264304,7165
33　岡　　　山,1666689,923931,124013,19855,160912,121812,85278,11804,59496,33519,293781,13461,701108,41650
34　広　　　島,2446520,1382263,191095,33910,261594,203367,135095,28857,59229,49014,399281,20821,1001225,63032
35　山　　　口,1283995,709529,93516,16096,124112,91647,70867,15557,48790,26731,215834,6379,558137,16329
36　徳　　　島,700075,370781,53155,8632,61116,47313,36711,5691,36124,11990,103442,6607,316277,13017
37　香　　　川,867012,486693,65476,12705,93298,68796,46113,7715,34901,17059,136632,3998,368159,12160
38　愛　　　媛,1261012,675014,88048,14772,117564,88847,69171,8599,63407,24118,192547,7941,557513,28485
39　高　　　知,691144,368690,52683,8842,60290,49841,40880,5612,46186,12342,87875,4139,306933,15521
40　福　　　岡,4309599,2281198,325452,54547,441163,381306,243267,43810,80074,85657,585677,40245,1866119,162282
41　佐　　　賀,731204,421238,56170,10116,70691,54722,42933,7051,45794,13621,118438,1702,304970,4996
42　長　　　崎,1257163,676753,94953,15046,113046,90715,79006,19791,60867,26214,173618,3497,570132,10278
43　熊　　　本,1571658,869698,120358,19063,145028,115407,92875,15566,97861,28544,225585,9411,678271,23689
44　大　　　分,1038058,568428,76108,13182,95839,75811,60227,10039,50592,19754,161619,5257,454830,14800
45　宮　　　崎,980785,550587,71731,12111,89966,69792,56988,10051,68406,18302,148652,4588,414596,15602
46　鹿　児　島,1496212,806787,110040,16523,138591,104911,88967,12971,93024,29650,208157,3953,677289,12136
47　沖　　　縄,1101183,557244,81690,12740,104401,78178,70188,15131,33214,23402,130035,8265,495204,48735
15大都市（再掲）, ,,,,,,,,,,,,,
,,,,,,,,,,,,,,
50　 東京都の区部  ,7388018,3937317,649305,135029,981299,685989,427865,54259,8006,120620,744454,130491,2527584,923117
51　札　　　幌,1640700,837850,125487,22055,177634,152649,95467,19384,3485,33264,182156,26269,690841,112009
52　仙　　　台,878507,460900,73578,14030,102960,90558,49623,9243,5274,15269,91660,8705,362574,55033
 53　さ い た ま,994813,571558,89247,15178,141423,104689,50493,9401,6019,15990,122682,16436,393800,29455
54　千　　　葉,783835,426415,68255,11762,104908,72849,40910,8357,3715,13693,87384,14582,313791,43629
55　横　　　浜,3046870,1713873,305983,46177,414507,286471,164682,24101,9370,53045,363274,46263,1202496,130501
56　川　　　崎,1135384,687239,123845,14603,158367,106590,62989,6701,3215,19951,143416,47562,411357,36788
57　静　　　岡,601537,357630,44164,8455,69593,58045,34346,5008,12144,13077,107472,5326,235535,8372
58　名　古　屋,1876025,1068899,147820,28421,227331,194900,114234,14079,3531,35559,282073,20951,722404,84722
59　京　　　都,1262409,673659,104486,16493,126145,117063,84407,9433,6202,21694,166632,21104,506797,81953
60　大　　　阪,2217147,1119057,143019,27655,232696,206432,139033,13079,1288,38136,296986,20733,944721,153369
61　神　　　戸,1291858,652287,104894,16838,142907,111111,72659,10546,5790,22127,147733,17682,585325,54246
62　広　　　島,972936,557520,82765,14449,120687,98700,57221,9611,7288,19722,135616,11461,373780,41636
63　北　九　州,852530,432846,62685,9998,80950,70124,48000,7729,4019,17593,123346,8402,392882,26802
64　福　　　岡,1195738,643002,99637,17465,144584,130882,74220,9230,5130,20891,122253,18710,453260,99476
注：1)　「国勢調査」平成17年10月１日現在の日本人人口（按分済み）,,,,,,,,,,,,,,
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。,,,,,,,,,,,,,,
　　3)　「不詳」は総数から、就業者総数と無職を引いたものである。,,,,,,,,,,,,,,
　　4)　15大都市の数値は、総人口から外国人人口を引いたものである。,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,表３　15歳以上人口，職業,（大分類）・都道府県（15大都市再掲）・性別,,,,,,,
" 男
",,,,,,,,,,,,,,"平成17年度   
   "
都道府県,総　　　数,就業者総数,Ａ,Ｂ,Ｃ,Ｄ,Ｅ,Ｆ,Ｇ,Ｈ,Ｉ,Ｊ,無　　　職,不　　詳
,,,専 門 的・,管　理　的,事務従事者  ,販売従事者  ,サー ビ ス,保　　　安,農林漁業,運輸・通信,生産工程・,分類不能の,,
,,,技　術　的,職業従事者,,,職業従事者,職業従事者,作 業 者,従　事　者,労務作業者,職　　　業,,
,,,職業従事者,,,,,,,,,,,
"全　  　　　国 
",52681353,35321232,4372560,1283757,4498765,5532962,2035319,992795,1730616,1970016,12259479,644963,14984666,2375455
01　北　海　道,2301904,1488769,163067,58391,184219,222479,89383,77591,110932,104133,450192,28382,717212,95923
02　青　　　森,576447,380542,32605,12538,40052,48626,19097,20946,51626,26489,125300,3263,187570,8335
03　岩　　　手,564024,384614,35768,14271,42037,48721,18403,9665,52036,24674,137594,1445,172936,6474
04　宮　　　城,977694,641567,72029,26398,76690,107089,34726,20861,42920,43816,210337,6701,295655,40472
05　秋　　　田,466986,310172,28799,10896,34713,38674,15035,8461,36522,18185,117107,1780,151680,5134
06　山　　　形,498673,344350,31866,12521,35385,44643,15971,9083,39887,17394,135617,1983,149457,4866
07　福　　　島,856302,576392,53318,19653,61801,72951,27835,13990,51637,34464,235756,4987,258677,21233
08　茨　　　城,1246923,860461,101817,24635,103137,103860,40064,25056,61991,51073,336296,12532,356911,29551
09　栃　　　木,844708,591646,65049,17418,65794,74125,30826,11889,38490,33823,248160,6072,229755,23307
10　群　　　馬,832043,583114,61026,19064,66661,78153,32485,11470,38476,31448,240033,4298,236985,11944
11　埼　　　玉,3014017,2102906,261392,68460,310695,358937,114634,58891,45767,120726,711606,51798,780305,130806
12　千　　　葉,2579049,1755387,235873,66691,279059,302591,100551,54414,60607,98243,515143,42215,689726,133936
13　東　　　京,5413955,3410120,579482,154119,553330,641139,251876,82469,19529,165148,850919,112109,1264050,739785
14　神　奈　川,3784928,2612000,448381,91658,404876,424413,153660,71750,28216,128260,777144,83642,978974,193954
15　新　　　潟,1003774,696260,68858,24563,72253,96214,36352,17053,53015,41073,282216,4663,295206,12308
