平成27年度,人口動態職業・産業別統計,,,,,,,,,,,,,,,
７基礎人口　表３,15歳以上人口，職業（大分類）・都道府県（21大都市再掲）・性別,,,,,,,,,,,,,,,
"Table 3　Population 15 years of age and over, by occupation (major groups), each prefecture (regrouped for 21 major cities) and sex"

注：1)　「国勢調査」平成27年10月１日現在の日本人人口（不詳按分済み）。,,,,,,,,,,,,,,,,
　　2)　「無職」は国勢調査による労働力状態が「完全失業者」と「非労働力人口」を合計したものである。,,,,,,,,,,,,,,,,
　　3)　「不詳」は総数から、就業者総数と無職を引いたものである。,,,,,,,,,,,,,,,,
"Notes :1) “National Census (Statistics Bureau, Ministry of Internal Affairs and Communications)” Population in Japan as of October 1, 2015 (Unknown people have been proportionally distributed)"
2) Non-employed is total of "Unemployed" and "Population not in labour force" by census report.
3) Not stated is the one that the total of employed and the non-employed were subtracted from total.

,総　数　Total,　就業者総数　Employed,　　Ａ　管理的職業従事者,　　Ｂ　専門的・技術的職業従事者,　　Ｃ　事務従事者,　　Ｄ　販売従事者,　　Ｅ　サービス職業従事者,　　Ｆ　保安職業従事者,　　Ｇ　農林漁業従事者,　　Ｈ　生産工程従事者,　　Ｉ　輸送・機械運転従事者,　　Ｊ　建設・採掘従事者,　　Ｋ　運搬・清掃・包装等従事者,　　Ｌ　分類不能の職業,　無　職　Non-employed,　不　詳　Not stated
総　数 Total,,,,,,,,,,,,,,,,
全　　　　　国　,109534740,58018675,1378446,9274837,11148369,7356073,6765051,1084656,2123617,7711550,1996780,2566554,3846730,2766012,43163859,8352206
０１　北　海　道,4752029,2420913,63162,348233,412833,293458,308880,74743,157859,229508,105037,118433,179600,129167,2035755,295361
０２　青　　　森,1156165,623631,12917,77673,95966,67632,75463,21122,71633,73425,27128,38218,44165,18289,498234,34300
０３　岩　　　手,1123538,632842,15034,84368,103170,68042,73823,10560,65008,93283,28663,39729,43065,8097,465631,25065
０４　宮　　　城,2031410,1071558,26691,159810,221150,144356,120801,23792,44604,126378,48672,62747,70749,21808,825837,134015
０５　秋　　　田,913974,481119,11708,64384,80921,52380,60628,8812,44052,71894,18365,28610,31989,7376,405286,27569
０６　山　　　形,982701,558597,13845,72207,91684,61175,65931,9874,49688,101103,18461,29635,33268,11726,403757,20347
０７　福　　　島,1675837,916659,20967,117034,155998,93805,100712,15712,57576,157097,37215,62380,64100,34063,678183,80995
０８　茨　　　城,2513013,1378486,26665,204125,245511,152040,145112,25871,75600,235069,56213,66582,93224,52474,1027844,106683
０９　栃　　　木,1697152,948375,19603,139424,158737,105016,104753,13873,52059,180263,35011,42461,66088,31087,668685,80092
１０　群　　　馬,1689320,946122,20617,135468,161842,108376,112324,13598,45419,182047,32014,43856,65383,25178,688234,54964
１１　埼　　　玉,6258390,3423624,71419,517580,705114,471465,361725,67158,54647,423386,123695,151440,253424,222571,2437495,397271
１２　千　　　葉,5371974,2832216,63091,455109,614169,396077,322212,60017,78535,279417,106283,120013,202591,134702,2080910,458848
１３　東　　　京,11641664,5725919,171086,1115313,1336447,782790,601787,91942,22689,385430,141458,163594,301012,612371,3658627,2257118
１４　神　奈　川,7849790,4057084,96882,797718,889098,567480,462283,76771,34337,393901,127868,153434,253083,204229,2924759,867947
１５　新　　　潟,2017279,1134473,27515,155669,195792,134189,139344,18876,61381,189292,45253,65956,79360,21846,832994,49812
１６　富　　　山,927064,531993,12408,79746,96945,61770,60445,7401,16741,106871,18700,27039,36464,7463,371682,23389
１７　石　　　川,996168,566851,12783,85458,101130,71052,68505,10122,16522,95286,18536,27806,37966,21685,386756,42561
１８　福　　　井,674053,393004,9957,58691,74023,43571,45400,6364,14134,74127,13614,21430,25479,6214,259706,21343
１９　山　　　梨,721968,403063,9767,60113,72383,45886,51603,6637,28897,64344,11480,20542,23885,7526,288514,30391
２０　長　　　野,1804156,1053746,26156,157875,176666,115224,130399,12032,90692,176550,29674,48580,66539,23359,709314,41096
２１　岐　　　阜,1732864,993242,23017,139757,180435,118090,116172,15603,29696,191367,32030,49033,71497,26545,699579,40043
２２　静　　　岡,3168972,1828442,41726,259120,315536,216595,211755,33544,69206,348971,64498,82196,136604,48691,1268360,72170
２３　愛　　　知,6310192,3578570,76581,552870,674779,451306,379172,51170,72843,665527,115600,139624,257814,141284,2351183,380439
２４　三　　　重,1553908,855111,17170,121618,154039,94726,100569,14355,29506,167223,30790,37822,61139,26154,628655,70142
２５　滋　　　賀,1191116,666510,14039,109152,123865,76346,72658,10496,18441,131710,19339,24269,44102,22093,469535,55071
２６　京　　　都,2252564,1170125,27854,192216,210725,154303,147365,25253,23845,147344,34692,41666,70658,94204,898805,183634
２７　大　　　阪,7597082,3693239,89742,583844,744414,530590,438366,56294,19136,432982,118998,142035,258082,278756,2993282,910561
２８　兵　　　庫,4751731,2403652,59046,406154,477401,324156,286000,43456,48136,341553,77700,91001,161681,87368,2003433,344646
２９　奈　　　良,1186644,586406,16423,104647,122779,85190,70753,10962,15208,71419,16189,20976,34537,17323,546432,53806
３０　和　歌　山,842458,442732,10142,64712,76237,51377,57191,7951,37611,58121,15410,21887,30208,11885,369896,29830
３１　鳥　　　取,496401,278589,6433,43012,47487,31319,35174,6152,23462,37409,8934,13762,17195,8250,201147,16665
３２　島　　　根,602730,338990,8159,52937,61006,37003,43992,6766,25405,44605,11389,19804,19879,8045,246113,17627
３３　岡　　　山,1655125,888993,19949,138189,153851,105248,101547,12556,39681,144789,33479,41505,57837,40362,695201,70931
３４　広　　　島,2435095,1315454,31616,210586,243067,173089,155669,30340,38555,199331,48751,59272,85508,39670,994759,124882
３５　山　　　口,1223398,638452,15332,98861,112431,72706,79967,15433,30240,97715,26342,34540,42394,12491,545619,39327
３６　徳　　　島,664588,339874,7877,57042,58037,37770,40886,6020,26533,47453,11089,17651,19464,10052,293863,30851
３７　香　　　川,846191,447424,10844,69121,85921,55092,51186,7608,22656,66352,15390,20297,30349,12608,353788,44979
３８　愛　　　媛,1207301,635624,14253,93519,108301,72768,79523,9106,45162,88591,23180,30933,41874,28414,528495,43182
３９　高　　　知,641168,321438,7657,52267,53155,36207,43383,5966,34169,31353,10180,16793,20020,10288,268492,51238
４０　福　　　岡,4378830,2230066,52899,366184,430802,314204,273460,44198,59520,255061,84765,102588,146308,100077,1794738,354026
４１　佐　　　賀,712821,407614,8591,61400,68706,45147,50391,7616,33390,58609,14580,21164,26052,11968,292529,12678
４２　長　　　崎,1191712,638738,14167,101217,106805,70326,87851,21067,45710,75472,24236,33859,39274,18754,528196,24778
４３　熊　　　本,1536790,828793,18887,135514,137397,97620,108399,16234,74938,101808,27934,41224,50721,18117,645170,62827
